RESPNO,REGION,URBRUR,Q1,Q6A,Q6B,Q6C,Q6E,Q94,Q93A,Q100,Q90A,Q90B,Q90C,Q90D,Q90E,Q90F,food_insecurity_label,location_type,is_food_insecure
GHA0001,274.0,2.0,49.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,2.0,Several times,Rural,1
GHA0002,274.0,2.0,37.0,2.0,1.0,2.0,3.0,4.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Several times,Rural,1
GHA0003,262.0,1.0,62.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0004,262.0,1.0,48.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,Never,Urban,0
GHA0005,262.0,1.0,53.0,0.0,0.0,0.0,0.0,5.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA0006,263.0,1.0,48.0,0.0,1.0,0.0,0.0,5.0,3.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,Never,Urban,0
GHA0007,262.0,1.0,27.0,2.0,0.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Several times,Urban,1
GHA0008,264.0,2.0,60.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,Many times,Rural,1
GHA0009,264.0,2.0,37.0,0.0,1.0,0.0,0.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0010,264.0,2.0,27.0,3.0,0.0,2.0,2.0,5.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,Many times,Rural,1
GHA0011,263.0,1.0,28.0,0.0,0.0,0.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA0012,275.0,1.0,35.0,0.0,0.0,0.0,0.0,6.0,1.0,2.0,0.0,2.0,2.0,0.0,2.0,2.0,Never,Urban,0
GHA0013,275.0,1.0,63.0,2.0,1.0,3.0,3.0,3.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0014,260.0,2.0,62.0,1.0,3.0,1.0,3.0,4.0,3.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Once/Twice,Rural,1
GHA0015,260.0,2.0,23.0,4.0,4.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,9.0,2.0,Always,Rural,1
GHA0016,267.0,2.0,58.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,Several times,Rural,1
GHA0017,267.0,2.0,31.0,0.0,4.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0018,267.0,2.0,56.0,4.0,2.0,4.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Always,Rural,1
GHA0019,274.0,2.0,53.0,3.0,1.0,2.0,3.0,0.0,1.0,2.0,1.0,1.0,2.0,9.0,9.0,2.0,Many times,Rural,1
GHA0020,263.0,1.0,23.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0021,264.0,2.0,23.0,0.0,2.0,0.0,1.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,Never,Rural,0
GHA0022,263.0,1.0,35.0,2.0,2.0,1.0,2.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Several times,Urban,1
GHA0023,261.0,2.0,35.0,3.0,3.0,0.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,Many times,Rural,1
GHA0024,267.0,2.0,23.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0025,266.0,1.0,65.0,0.0,0.0,3.0,1.0,3.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,Never,Urban,0
GHA0026,267.0,2.0,36.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Several times,Rural,1
GHA0027,267.0,2.0,18.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,2.0,Never,Rural,0
GHA0028,266.0,1.0,20.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,2.0,2.0,0.0,2.0,2.0,1.0,Never,Urban,0
GHA0029,266.0,1.0,38.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Many times,Urban,1
GHA0030,266.0,1.0,38.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Never,Urban,0
GHA0031,261.0,2.0,47.0,0.0,0.0,3.0,3.0,5.0,3.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0032,274.0,2.0,27.0,0.0,0.0,0.0,0.0,5.0,3.0,1.0,2.0,0.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0033,267.0,2.0,40.0,0.0,4.0,2.0,2.0,9.0,3.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,Never,Rural,0
GHA0034,262.0,1.0,19.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,Never,Urban,0
GHA0035,264.0,2.0,23.0,2.0,3.0,0.0,0.0,5.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,Several times,Rural,1
GHA0036,262.0,1.0,66.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Urban,0
GHA0037,264.0,2.0,66.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0038,275.0,1.0,58.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,2.0,0.0,1.0,2.0,Never,Urban,0
GHA0039,264.0,2.0,42.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0040,263.0,2.0,70.0,3.0,2.0,3.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,9.0,9.0,2.0,Many times,Rural,1
GHA0041,271.0,1.0,64.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Once/Twice,Urban,1
GHA0042,271.0,1.0,21.0,2.0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,Several times,Urban,1
GHA0043,263.0,2.0,20.0,3.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,Many times,Rural,1
GHA0044,263.0,2.0,27.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,Once/Twice,Rural,1
GHA0045,267.0,2.0,26.0,1.0,2.0,1.0,1.0,6.0,3.0,1.0,2.0,2.0,0.0,2.0,0.0,2.0,Once/Twice,Rural,1
GHA0046,274.0,2.0,31.0,1.0,2.0,2.0,3.0,5.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Once/Twice,Rural,1
GHA0047,267.0,2.0,28.0,0.0,1.0,0.0,2.0,6.0,3.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,Never,Rural,0
GHA0048,263.0,2.0,28.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,Never,Rural,0
GHA0049,263.0,1.0,38.0,2.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,Several times,Urban,1
GHA0050,262.0,1.0,32.0,4.0,4.0,4.0,4.0,8.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,Always,Urban,1
GHA0051,260.0,2.0,48.0,0.0,0.0,0.0,1.0,4.0,2.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,Never,Rural,0
GHA0052,263.0,1.0,28.0,0.0,0.0,1.0,1.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,Never,Urban,0
GHA0053,260.0,2.0,61.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0054,261.0,2.0,39.0,3.0,3.0,0.0,4.0,5.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,1.0,Many times,Rural,1
GHA0055,263.0,1.0,50.0,3.0,3.0,1.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,Many times,Urban,1
GHA0056,264.0,2.0,32.0,0.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,Never,Rural,0
GHA0057,267.0,2.0,38.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,Never,Rural,0
GHA0058,266.0,1.0,45.0,2.0,1.0,0.0,3.0,4.0,2.0,1.0,1.0,2.0,0.0,0.0,9.0,2.0,Several times,Urban,1
